Date,Open,High,Low,Close ,Adj Close ,Volume
29-Sep-22,282.76,283.65,265.78,268.21,268.21,"77,620,600"
28-Sep-22,283.08,289,277.57,287.81,287.81,"54,664,800"
27-Sep-22,283.84,288.67,277.51,282.94,282.94,"61,925,200"
26-Sep-22,271.83,284.09,270.31,276.01,276.01,"58,076,900"
23-Sep-22,283.09,284.5,272.82,275.33,275.33,"63,748,400"
22-Sep-22,299.86,301.29,285.82,288.59,288.59,"70,545,400"
21-Sep-22,308.29,313.8,300.63,300.8,300.8,"62,555,700"
20-Sep-22,306.91,313.33,305.58,308.73,308.73,"61,642,800"
19-Sep-22,300.09,309.84,297.8,309.07,309.07,"60,231,200"
16-Sep-22,299.61,303.71,295.6,303.35,303.35,"87,087,800"
15-Sep-22,301.83,309.12,300.72,303.75,303.75,"64,795,500"
14-Sep-22,292.24,306,291.64,302.61,302.61,"72,628,700"
13-Sep-22,292.9,297.4,290.4,292.13,292.13,"68,229,600"
12-Sep-22,300.72,305.49,300.4,304.42,304.42,"48,674,600"
9-Sep-22,291.67,299.85,291.25,299.68,299.68,"54,338,100"
8-Sep-22,281.3,289.5,279.76,289.26,289.26,"53,713,100"
7-Sep-22,273.1,283.84,272.27,283.7,283.7,"50,028,900"
6-Sep-22,272.68,275.99,265.74,274.42,274.42,"55,860,000"
2-Sep-22,281.07,282.35,269.08,270.21,270.21,"50,890,100"
1-Sep-22,272.58,277.58,266.15,277.16,277.16,"54,287,000"
31-Aug-22,280.62,281.25,271.81,275.61,275.61,"52,107,300"
30-Aug-22,287.87,288.48,272.65,277.7,277.7,"50,541,800"
29-Aug-22,282.83,287.74,280.7,284.82,284.82,"41,864,700"
26-Aug-22,297.43,302,287.47,288.09,288.09,"57,163,900"
25-Aug-22,302.36,302.96,291.6,296.07,296.07,"53,230,000"
24-Aug-22,297.56,303.65,296.5,297.1,297.1,"57,259,800"
23-Aug-22,291.45,298.83,287.92,296.45,296.45,"63,984,900"
22-Aug-22,291.91,292.4,286.3,289.91,289.91,"55,843,200"
19-Aug-22,299,300.36,292.5,296.67,296.67,"61,395,300"
18-Aug-22,306,306.5,301.85,302.87,302.87,"47,500,500"
17-Aug-22,303.4,309.66,300.03,304,304,"68,766,000"
16-Aug-22,311.67,314.67,302.88,306.56,306.56,"88,136,400"
15-Aug-22,301.79,313.13,301.23,309.32,309.32,"89,359,200"
12-Aug-22,289.42,300.16,285.03,300.03,300.03,"79,657,200"
11-Aug-22,296.51,298.24,285.83,286.63,286.63,"70,155,000"
10-Aug-22,297.07,297.51,283.37,294.36,294.36,"94,918,800"
9-Aug-22,290.29,292.4,279.35,283.33,283.33,"86,244,600"
8-Aug-22,295,305.2,289.09,290.42,290.42,"98,994,000"
5-Aug-22,302.67,304.61,285.54,288.17,288.17,"113,172,900"
4-Aug-22,311,313.61,305,308.63,308.63,"72,256,200"
3-Aug-22,305,309.55,301.15,307.4,307.4,"80,091,000"
2-Aug-22,294,307.83,292.67,300.59,300.59,"95,577,600"
1-Aug-22,301.28,311.88,295,297.28,297.28,"117,042,900"
29-Jul-22,280.7,298.32,279.1,297.15,297.15,"95,313,000"
28-Jul-22,280.07,283.3,272.8,280.9,280.9,"84,723,000"
27-Jul-22,263.81,275.93,261.79,274.82,274.82,"88,110,000"
26-Jul-22,266.51,267.31,256.26,258.86,258.86,"66,820,800"
25-Jul-22,272.22,274.15,267.4,268.43,268.43,"64,073,400"
22-Jul-22,276.22,280.79,270.71,272.24,272.24,"103,472,700"
21-Jul-22,255.11,273.27,254.87,271.71,271.71,"142,032,300"
20-Jul-22,246.78,250.66,243.48,247.5,247.5,"88,864,200"
19-Jul-22,245,247.14,236.98,245.53,245.53,"80,890,200"
18-Jul-22,244.94,250.52,239.6,240.55,240.55,"82,537,500"
15-Jul-22,240,243.62,236.89,240.07,240.07,"69,683,100"
14-Jul-22,234.9,238.65,229.33,238.31,238.31,"78,557,400"
13-Jul-22,225.5,242.06,225.03,237.04,237.04,"97,954,500"
12-Jul-22,236.85,239.77,228.37,233.07,233.07,"87,930,900"
11-Jul-22,252.1,253.06,233.63,234.34,234.34,"99,241,200"
8-Jul-22,242.33,254.98,241.16,250.76,250.76,"101,854,200"
7-Jul-22,233.92,245.36,232.21,244.54,244.54,"81,930,600"
6-Jul-22,230.78,234.56,227.19,231.73,231.73,"71,853,600"
5-Jul-22,223,233.15,216.17,233.07,233.07,"84,581,100"
1-Jul-22,227,230.23,222.12,227.26,227.26,"74,460,300"
30-Jun-22,224.51,229.46,218.86,224.47,224.47,"94,600,500"
29-Jun-22,230.5,231.17,222.27,228.49,228.49,"82,897,200"
28-Jun-22,244.48,249.97,232.34,232.66,232.66,"90,391,200"
27-Jun-22,249.37,252.07,242.57,244.92,244.92,"89,178,300"
24-Jun-22,237.47,246.07,236.09,245.71,245.71,"95,770,800"
23-Jun-22,237.91,239.32,228.64,235.07,235.07,"104,202,600"
22-Jun-22,234.5,246.83,233.83,236.09,236.09,"101,107,500"
21-Jun-22,224.6,243.58,224.33,237.04,237.04,"122,793,000"
17-Jun-22,213.43,220.97,213.2,216.76,216.76,"92,641,800"
16-Jun-22,222.74,225.17,208.69,213.1,213.1,"107,390,700"
15-Jun-22,220.92,235.66,218.15,233,233,"119,131,800"
14-Jun-22,218.29,226.33,211.74,220.89,220.89,"97,988,700"
13-Jun-22,223.17,226.63,214.68,215.74,215.74,"102,767,400"
10-Jun-22,235.16,239.5,227.91,232.23,232.23,"97,536,600"
9-Jun-22,249.34,255.55,239.33,239.71,239.71,"96,491,400"
8-Jun-22,240.09,249.96,239.18,241.87,241.87,"76,210,500"
7-Jun-22,234,240,230.09,238.89,238.89,"72,808,500"
6-Jun-22,244.35,244.87,234.35,238.28,238.28,"84,204,600"
3-Jun-22,243.23,247.8,233.42,234.52,234.52,"112,393,800"
2-Jun-22,244.16,264.21,242.07,258.33,258.33,"93,473,100"
1-Jun-22,251.72,257.33,243.64,246.79,246.79,"77,247,900"
31-May-22,257.95,259.6,244.74,252.75,252.75,"101,914,500"
27-May-22,241.08,253.27,240.18,253.21,253.21,"89,295,000"
26-May-22,220.47,239.56,217.89,235.91,235.91,"106,003,200"
25-May-22,207.95,223.11,207.67,219.6,219.6,"92,139,300"
24-May-22,217.84,217.97,206.86,209.39,209.39,"89,092,500"
23-May-22,218.34,226.65,212.69,224.97,224.97,"88,903,500"
20-May-22,238,240.53,211,221.3,221.3,"144,973,200"
19-May-22,235.67,244.67,231.37,236.47,236.47,"90,296,700"
18-May-22,248.17,253.5,233.6,236.6,236.6,"87,811,800"
17-May-22,249.12,254.83,242.95,253.87,253.87,"80,236,200"
16-May-22,255.72,256.59,239.7,241.46,241.46,"86,098,500"
13-May-22,257.83,262.45,250.52,256.53,256.53,"92,150,700"
12-May-22,233.67,253.22,226.67,242.67,242.67,"140,313,000"
11-May-22,265,269.92,242.4,244.67,244.67,"97,224,600"
10-May-22,273.1,275.12,258.08,266.68,266.68,"84,401,700"
9-May-22,278.82,281.88,260.38,262.37,262.37,"90,810,300"
6-May-22,295.67,296,281.04,288.55,288.55,"72,903,000"
5-May-22,313.01,315.2,285.9,291.09,291.09,"92,519,100"
4-May-22,301.31,318.5,295.09,317.54,317.54,"81,643,800"
3-May-22,301.06,308.03,296.2,303.08,303.08,"63,709,500"
2-May-22,286.92,302.12,282.68,300.98,300.98,"75,781,500"
29-Apr-22,300.75,311.47,290,290.25,290.25,"88,133,100"
28-Apr-22,299.99,300,273.9,292.5,292.5,"124,948,500"
27-Apr-22,299.53,306,292.45,293.84,293.84,"76,956,300"
26-Apr-22,331.81,333.33,291.67,292.14,292.14,"136,133,700"
25-Apr-22,326.32,336.21,325.1,332.67,332.67,"68,341,200"
22-Apr-22,338.3,344.95,331.33,335.02,335.02,"69,696,600"
21-Apr-22,358.24,364.07,332.14,336.26,336.26,"105,416,400"
20-Apr-22,343.33,344.67,325.08,325.73,325.73,"70,711,200"
19-Apr-22,335.02,344.98,331.78,342.72,342.72,"49,847,700"
18-Apr-22,329.68,338.31,324.47,334.76,334.76,"51,715,200"
14-Apr-22,333.1,337.57,327.4,328.33,328.33,"58,422,300"
13-Apr-22,327.03,342.08,324.37,340.79,340.79,"55,121,100"
12-Apr-22,332.55,340.4,325.53,328.98,328.98,"65,976,000"
11-Apr-22,326.8,336.16,324.88,325.31,325.31,"59,357,100"
8-Apr-22,347.74,349.48,340.81,341.83,341.83,"55,013,700"
7-Apr-22,350.8,358.86,340.51,352.42,352.42,"79,447,200"
6-Apr-22,357.82,359.67,342.57,348.59,348.59,"89,348,400"
5-Apr-22,378.77,384.29,362.43,363.75,363.75,"80,075,100"
4-Apr-22,363.13,383.3,357.51,381.82,381.82,"82,035,900"
1-Apr-22,360.38,364.92,355.55,361.53,361.53,"54,263,100"
31-Mar-22,364.86,367.71,358.88,359.2,359.2,"48,992,700"
30-Mar-22,363.72,371.32,361.33,364.66,364.66,"59,865,000"
29-Mar-22,369.33,371.59,357.7,366.52,366.52,"73,614,900"
28-Mar-22,355.03,365.96,351.2,363.95,363.95,"102,506,100"
25-Mar-22,336,340.6,332.44,336.88,336.88,"62,031,600"
24-Mar-22,336.58,341.5,329.6,337.97,337.97,"68,920,800"
23-Mar-22,326.65,346.9,325.47,333.04,333.04,"120,676,200"
22-Mar-22,310,332.62,307.25,331.33,331.33,"105,868,500"
21-Mar-22,304.99,314.28,302.36,307.05,307.05,"81,981,600"
18-Mar-22,291.5,302.62,289.13,301.8,301.8,"100,414,200"
17-Mar-22,277,291.67,275.24,290.53,290.53,"66,582,900"
16-Mar-22,269.67,280.67,267.42,280.08,280.08,"84,028,800"
15-Mar-22,258.42,268.52,252.19,267.3,267.3,"66,841,200"
14-Mar-22,260.2,266.9,252.01,255.46,255.46,"71,152,200"
11-Mar-22,280.07,281.27,264.59,265.12,265.12,"67,037,100"
10-Mar-22,283.82,284.82,270.12,279.43,279.43,"58,648,500"
9-Mar-22,279.83,286.85,277.34,286.32,286.32,"59,184,000"
8-Mar-22,265.18,283.33,260.72,274.8,274.8,"80,399,100"
7-Mar-22,285.43,288.71,268.19,268.19,268.19,"72,494,100"
4-Mar-22,283.03,285.22,275.05,279.43,279.43,"66,999,600"
3-Mar-22,292.92,295.48,277.53,279.76,279.76,"61,623,600"
2-Mar-22,290.71,295.49,281.42,293.3,293.3,"74,643,300"
1-Mar-22,289.89,296.63,284.59,288.12,288.12,"74,766,900"
28-Feb-22,271.67,292.29,271.57,290.14,290.14,"99,006,900"
25-Feb-22,269.74,273.17,260.8,269.96,269.96,"76,067,700"
24-Feb-22,233.46,267.49,233.33,266.92,266.92,"135,322,200"
23-Feb-22,276.81,278.43,253.52,254.68,254.68,"95,256,900"
22-Feb-22,278.04,285.58,267.03,273.84,273.84,"83,288,100"
18-Feb-22,295.33,295.62,279.2,285.66,285.66,"68,501,700"
17-Feb-22,304.42,306.17,291.37,292.12,292.12,"55,178,400"
16-Feb-22,304.68,308.81,300.4,307.8,307.8,"51,294,300"
15-Feb-22,300,307.67,297.79,307.48,307.48,"57,286,200"
14-Feb-22,287.19,299.63,284.38,291.92,291.92,"67,756,500"
11-Feb-22,303.21,305.32,283.57,286.67,286.67,"79,645,800"
10-Feb-22,302.79,314.6,298.9,301.52,301.52,"66,126,900"
9-Feb-22,311.67,315.42,306.67,310.67,310.67,"52,259,400"
8-Feb-22,301.84,308.76,298.27,307.33,307.33,"50,729,100"
7-Feb-22,307.93,315.92,300.9,302.45,302.45,"60,994,500"
4-Feb-22,299.07,312.17,293.72,307.77,307.77,"73,625,400"
3-Feb-22,294,312.33,293.51,297.05,297.05,"78,855,600"
2-Feb-22,309.39,310.5,296.47,301.89,301.89,"66,792,900"
1-Feb-22,311.74,314.57,301.67,310.42,310.42,"73,138,200"
31-Jan-22,290.9,312.66,287.35,312.24,312.24,"104,436,000"
28-Jan-22,277.19,285.83,264,282.12,282.12,"134,789,100"
27-Jan-22,311.12,311.8,276.33,276.37,276.37,"147,109,500"
26-Jan-22,317.48,329.23,302,312.47,312.47,"104,867,400"
25-Jan-22,304.73,317.09,301.07,306.13,306.13,"86,595,900"
24-Jan-22,301.59,311.17,283.82,310,310,"151,565,700"
21-Jan-22,332.11,334.85,313.5,314.63,314.63,"103,416,000"
20-Jan-22,336.58,347.22,331.33,332.09,332.09,"70,488,600"
19-Jan-22,347.24,351.56,331.67,331.88,331.88,"75,442,500"
18-Jan-22,342.2,356.93,338.69,343.5,343.5,"66,743,400"
14-Jan-22,339.96,350.67,337.79,349.87,349.87,"72,924,300"
13-Jan-22,369.69,371.87,342.18,343.85,343.85,"97,209,900"
12-Jan-22,359.62,371.61,357.53,368.74,368.74,"83,739,000"
11-Jan-22,351.22,358.62,346.27,354.8,354.8,"66,063,300"
10-Jan-22,333.33,353.03,326.67,352.71,352.71,"91,815,000"
7-Jan-22,360.12,360.31,336.67,342.32,342.32,"84,164,700"
6-Jan-22,359,362.67,340.17,354.9,354.9,"90,336,600"
5-Jan-22,382.22,390.11,360.34,362.71,362.71,"80,119,800"
4-Jan-22,396.52,402.67,374.35,383.2,383.2,"100,248,300"
3-Jan-22,382.58,400.36,378.68,399.93,399.93,"103,931,400"
31-Dec-21,357.81,360.67,351.53,352.26,352.26,"40,733,700"
30-Dec-21,353.78,365.18,351.05,356.78,356.78,"47,040,900"
29-Dec-21,366.21,368,354.71,362.06,362.06,"56,154,000"
28-Dec-21,369.83,373,359.47,362.82,362.82,"60,324,000"
27-Dec-21,357.89,372.33,356.91,364.65,364.65,"71,145,900"
23-Dec-21,335.6,357.66,332.52,355.67,355.67,"92,713,200"
22-Dec-21,321.89,338.55,319.02,336.29,336.29,"93,634,200"
21-Dec-21,305.62,313.17,295.37,312.84,312.84,"71,517,900"
20-Dec-21,303.57,307.23,297.8,299.98,299.98,"56,480,100"
17-Dec-21,304.92,320.22,303.01,310.86,310.86,"100,437,300"
16-Dec-21,331.5,331.66,307.28,308.97,308.97,"82,771,500"
15-Dec-21,317.74,326.25,309.42,325.33,325.33,"75,169,200"
14-Dec-21,315,322.14,310,319.5,319.5,"70,806,300"
13-Dec-21,333.7,335,317.14,322.14,322.14,"78,595,500"
10-Dec-21,336.25,340.33,327.51,339.01,339.01,"59,664,300"
9-Dec-21,353.55,354.16,334.12,334.6,334.6,"59,438,400"
8-Dec-21,350.9,357.46,344.33,356.32,356.32,"41,906,400"
7-Dec-21,348.07,352.56,342.27,350.58,350.58,"56,084,700"
6-Dec-21,333.84,340.55,316.83,336.34,336.34,"81,663,000"
3-Dec-21,361.6,363.53,333.4,338.32,338.32,"92,322,000"
2-Dec-21,366.35,371,352.22,361.53,361.53,"73,114,800"
1-Dec-21,386.9,390.95,363.59,365,365,"68,450,400"
30-Nov-21,381.46,389.33,372.67,381.59,381.59,"81,276,000"
29-Nov-21,367,380.89,366.73,379,379,"58,393,500"
26-Nov-21,366.49,369.59,360.33,360.64,360.64,"35,042,700"
24-Nov-21,360.13,377.59,354,372,372,"67,680,600"
23-Nov-21,389.17,393.5,354.23,369.68,369.68,"108,515,100"
22-Nov-21,387.44,400.65,377.48,385.62,385.62,"99,217,500"
19-Nov-21,366.29,379.57,364.23,379.02,379.02,"64,926,900"
18-Nov-21,368.85,370.67,358.34,365.46,365.46,"62,696,700"
17-Nov-21,354.5,373.21,351.83,363,363,"94,336,200"
16-Nov-21,334.44,352.4,334.06,351.58,351.58,"79,627,200"
15-Nov-21,339.21,343.99,326.2,337.8,337.8,"104,326,800"
12-Nov-21,349.17,351.5,339.73,344.47,344.47,"76,719,300"
11-Nov-21,367.59,368.32,351.56,354.5,354.5,"67,189,800"
10-Nov-21,336.8,359.37,329.1,355.98,355.98,"128,408,100"
9-Nov-21,391.2,391.5,337.17,341.17,341.17,"177,317,400"
8-Nov-21,383.26,399,377.67,387.65,387.65,"100,337,100"
5-Nov-21,409.33,413.29,402.67,407.36,407.36,"64,886,400"
4-Nov-21,411.47,414.5,405.67,409.97,409.97,"76,192,200"
3-Nov-21,392.44,405.13,384.21,404.62,404.62,"103,885,500"
2-Nov-21,386.45,402.86,382,390.67,390.67,"128,213,400"
1-Nov-21,381.67,403.25,372.89,402.86,402.86,"168,146,100"
29-Oct-21,360.62,371.74,357.74,371.33,371.33,"89,755,200"
28-Oct-21,356.1,360.33,351.4,359.01,359.01,"81,639,600"
27-Oct-21,346.55,356.96,343.59,345.95,345.95,"115,579,500"
26-Oct-21,341.56,364.98,333.81,339.48,339.48,"187,245,000"
25-Oct-21,316.84,348.34,314.73,341.62,341.62,"188,556,300"
22-Oct-21,298.5,303.33,296.99,303.23,303.23,"68,642,400"
21-Oct-21,285.33,300,285.17,298,298,"94,444,500"
20-Oct-21,288.45,289.83,285.79,288.6,288.6,"42,096,300"
19-Oct-21,292.51,292.65,287.5,288.09,288.09,"52,143,300"
18-Oct-21,283.93,291.75,283.82,290.04,290.04,"72,621,600"
15-Oct-21,274.58,281.07,274.12,281.01,281.01,"56,773,800"
14-Oct-21,271.83,273.42,271.12,272.77,272.77,"36,741,600"
13-Oct-21,270.16,271.8,268.59,270.36,270.36,"42,360,300"
12-Oct-21,266.98,270.77,265.52,268.57,268.57,"66,060,000"
11-Oct-21,262.55,267.08,261.83,263.98,263.98,"42,600,900"
8-Oct-21,265.4,265.46,260.3,261.83,261.83,"50,215,800"
7-Oct-21,261.82,268.33,261.13,264.54,264.54,"57,587,400"
6-Oct-21,258.73,262.22,257.74,260.92,260.92,"43,898,400"
5-Oct-21,261.6,265.77,258.07,260.2,260.2,"55,297,800"
4-Oct-21,265.5,268.99,258.71,260.51,260.51,"91,449,900"
1-Oct-21,259.47,260.26,254.53,258.41,258.41,"51,094,200"
30-Sep-21,260.33,263.04,258.33,258.49,258.49,"53,868,000"